p_T, Eta, Phi, p_T-corr, N-Trk, Angularity, Mean-p_T, p_T_1, p_T_2, p_T_3, p_T_4, p_T_5, X_tru
96.3163, -0.263686, 0.550055, -13.7282, 644, 0.269402, 0.526319, 3.05392, 2.64031, 2.29969, 1.82518, 1.77181, 0.0103308
96.316, 0.355939, 0.3202, -13.7285, 696, 0.734007, 0.499047, 2.59231, 2.36803, 1.59438, 1.47057, 1.45179, 0.00246184
83.8285, 0.341827, 3.94936, -26.216, 501, 0.266547, 0.578128, 2.42527, 1.995, 1.59312, 1.52169, 1.45782, 0.00135266
80.0679, -0.294855, 4.82993, -29.9767, 476, 0.253282, 0.552192, 1.90045, 1.7633, 1.68034, 1.66488, 1.54643, 0
72.7552, -0.421447, 5.47949, -37.2893, 529, 0.263178, 0.498323, 2.02748, 1.92123, 1.76829, 1.70486, 1.65105, 0.0113086
71.6556, 0.397144, 2.21458, -38.389, 465, 0.255856, 0.63412, 2.57842, 2.1136, 1.96055, 1.7797, 1.70388, 0.00340735
70.3809, 0.129606, 3.06293, -39.6637, 466, 0.272028, 0.478782, 2.99802, 2.28774, 2.2153, 1.86017, 1.85328, 0
67.4787, 0.0670445, 5.84487, -42.5658, 456, 0.262511, 0.468602, 2.53583, 1.7047, 1.60007, 1.5987, 1.46548, 0.00758043
66.3313, 0.0814366, 1.77959, -43.7132, 409, 0.233708, 0.592244, 2.57957, 1.81154, 1.74102, 1.7266, 1.5883, 0.0197689
56.8757, -0.415489, 2.96867, -53.1688, 376, 0.25612, 0.618214, 2.22236, 1.60179, 1.53849, 1.53502, 1.50703, 0
46.3672, 0.23082, 5.44294, -63.6773, 344, 0.251144, 0.482992, 2.35878, 1.7833, 1.70901, 1.47595, 1.38743, 0.00481625
18.136, -0.302376, 1.44497, -91.9086, 134, 0.157729, 0.503777, 1.87691, 1.34044, 0.993366, 0.914471, 0.85345, 0.00616175
15.078, 0.0473753, 4.31384, -94.9666, 67, 0.155118, 0.5385, 1.9291, 1.69722, 1.47349, 1.2468, 1.13165, 0
14.6778, -0.131623, 3.40751, -95.3668, 133, 0.169279, 0.473477, 1.76371, 1.5892, 0.981572, 0.8211, 0.755721, 0
