p_T, Eta, Phi, p_T-corr, N-Trk, Angularity, Mean-p_T, p_T_1, p_T_2, p_T_3, p_T_4, p_T_5, X_tru
98.716, -0.261855, 1.77998, 4.26015, 705, 0.270443, 0.506236, 2.75256, 2.34959, 2.30332, 2.17434, 1.65344, 0.00689129
90.4856, -0.20322, 3.11909, -3.97031, 510, 0.254647, 0.591409, 4.08681, 2.79623, 2.49264, 2.20309, 2.19414, 0.0631442
84.758, -0.406327, 5.60408, -9.69794, 526, 0.243819, 0.592713, 2.30526, 2.18517, 1.97455, 1.97344, 1.94622, 0.0129894
83.748, 0.337997, 1.47766, -10.7079, 585, 0.244419, 0.489754, 2.52079, 1.63467, 1.62921, 1.55409, 1.43234, 0.00182068
76.9984, -0.0166089, 3.68118, -17.4575, 545, 0.255214, 0.513323, 2.97246, 2.74419, 2.03177, 1.91735, 1.87922, 0.0157964
76.5493, 0.158364, 0.839496, -17.9066, 575, 0.243267, 0.458379, 2.5399, 2.31764, 1.84742, 1.78496, 1.56573, 0.00344817
66.4595, 0.12809, 2.4385, -27.9964, 464, 0.255103, 0.464752, 1.63773, 1.56273, 1.48998, 1.4864, 1.41101, 0.025562
50.0739, -0.34734, 5.1814, -44.382, 357, 0.246758, 0.544281, 2.38904, 2.36433, 1.66003, 1.62503, 1.60772, 0.0089534
48.7885, 0.00480793, 6.11016, -45.6673, 296, 0.226101, 0.567309, 2.25735, 2.00458, 1.70202, 1.67515, 1.38175, 0.00975662
39.6348, -0.271357, 0.920282, -54.8211, 339, 0.249855, 0.466291, 1.55604, 1.27361, 1.22893, 1.15788, 1.13847, 0
38.4719, -0.0165043, 4.32869, -55.984, 263, 0.198066, 0.463517, 1.48308, 1.2375, 1.17274, 1.14799, 1.0983, 0.0149096
27.1919, -0.398431, 4.09843, -67.264, 193, 0.225415, 0.647426, 1.78856, 1.70913, 1.46292, 1.45628, 1.34674, 0
21.7067, -0.0333691, 4.77877, -72.7492, 162, 0.174093, 0.417437, 1.57609, 1.10927, 1.0032, 0.969942, 0.966474, 0.0100706
97.0766, 0.0755879, 5.2985, -11.2096, 698, 0.269624, 0.500395, 3.53375, 3.44323, 2.1868, 2.14076, 1.99336, 0.00231323
92.0638, 0.296465, 2.70056, -16.2224, 578, 0.270642, 0.579018, 3.11789, 2.59729, 2.26642, 2.04327, 1.8499, 0.0330548
81.8124, 0.0339268, 1.72728, -26.4738, 463, 0.24673, 0.606018, 3.45384, 2.71394, 2.53052, 2.35259, 2.07482, 0.105601
81.8122, 0.218995, 0.753336, -26.474, 482, 0.234034, 0.541803, 2.23444, 2.10114, 2.07889, 1.86632, 1.86503, 0.0168654
78.6709, 0.475749, 3.21961, -29.6153, 394, 0.257905, 0.690095, 3.17561, 2.44136, 2.0441, 1.78371, 1.77958, 0.0510541
68.7538, 0.279393, 1.39533, -39.5324, 418, 0.257458, 0.587639, 3.3654, 2.77649, 2.63478, 1.83019, 1.62463, 0.0104953
65.4619, 0.0423056, 5.82375, -42.8244, 410, 0.236737, 0.589746, 2.74984, 2.22025, 2.09888, 1.73554, 1.64245, 0.0628864
42.7363, -0.302011, 3.70739, -65.55, 254, 0.214093, 0.601919, 1.88379, 1.69939, 1.51731, 1.47575, 1.3036, 0.00465683
41.3595, 0.424546, 5.07236, -66.9267, 308, 0.244135, 0.537136, 3.45285, 2.4471, 2.09279, 1.99357, 1.62463, 0.029045
39.8992, -0.0864351, 2.3408, -68.387, 252, 0.224674, 0.531989, 1.92617, 1.68333, 1.46942, 1.30889, 1.26582, 0.01621
38.7321, -0.487815, 3.06598, -69.5541, 257, 0.253591, 0.645535, 3.08565, 2.21076, 1.93878, 1.79653, 1.512, 0.0029383
27.3124, -0.475306, 6.16331, -80.9739, 208, 0.223573, 0.682809, 2.27864, 1.82599, 1.7312, 1.37081, 1.16463, 0
27.0198, -0.0797992, 4.42336, -81.2664, 192, 0.223447, 0.540396, 1.97791, 1.77935, 1.44207, 1.38296, 1.33587, 0
26.7823, -0.0973888, 4.83095, -81.5039, 211, 0.204652, 0.352398, 1.75073, 1.05903, 0.932251, 0.826019, 0.818975, 0.00818135
96.3249, -0.342882, 2.91583, -17.2914, 624, 0.245623, 0.499093, 3.63645, 2.21127, 1.9589, 1.85244, 1.74456, 0.00136444
93.1069, 0.0417456, 4.21837, -20.5094, 689, 0.251108, 0.492629, 2.39531, 2.14153, 1.96932, 1.96779, 1.73389, 0.0189165
82.2345, 0.393759, 3.56568, -31.3817, 495, 0.247391, 0.618305, 3.8947, 1.96693, 1.79812, 1.78696, 1.72036, 0.031871
77.4149, -0.462021, 0.777977, -36.2013, 505, 0.260653, 0.604804, 2.34008, 1.82393, 1.77645, 1.74272, 1.68213, 0.0018869
74.601, -0.016617, 0.47298, -39.0152, 526, 0.256287, 0.510966, 2.41193, 1.88896, 1.70032, 1.44544, 1.38225, 0.0185176
70.8831, 0.247257, 2.9972, -42.7331, 438, 0.242356, 0.541092, 2.78636, 2.11108, 1.88795, 1.77918, 1.70271, 0.00261191
62.2625, 0.229287, 4.75378, -51.3537, 447, 0.22584, 0.510349, 2.44891, 1.73631, 1.73129, 1.4949, 1.42674, 0.0142915
58.7028, -0.492615, 2.45648, -54.9134, 472, 0.252033, 0.510459, 2.27795, 1.68344, 1.63534, 1.45174, 1.28898, 0.000865076
54.0738, 0.244482, 2.46047, -59.5424, 357, 0.224493, 0.569198, 2.2993, 2.20054, 1.89853, 1.83585, 1.83088, 0.00057729
37.5562, -0.277896, 1.65647, -76.06, 242, 0.252856, 0.514469, 2.15338, 1.80065, 1.6922, 1.67857, 1.57541, 0
31.2226, 0.200546, 0.0927571, -82.3937, 210, 2.23521, 0.487853, 2.25179, 1.84464, 1.51348, 1.19567, 1.05985, 0
29.1637, -0.479506, 4.46955, -84.4525, 188, 0.193661, 0.511644, 2.41427, 1.22002, 1.19549, 1.18, 1.17543, 0
22.3847, -0.162923, 2.15342, -91.2315, 144, 0.191862, 0.53297, 2.07915, 1.98285, 1.69365, 1.32176, 1.31575, 0.0129752
21.4396, -0.350672, 3.90633, -92.1767, 118, 0.188778, 0.579448, 1.70171, 1.58125, 1.37402, 1.36517, 1.31184, 0.0307927
21.2392, 0.318613, 0.782199, -92.377, 177, 0.174046, 0.461721, 1.51289, 1.41591, 1.32707, 1.23654, 1.05838, 0.00806775
16.6756, -0.255935, 4.87481, -96.9406, 120, 0.124291, 0.537924, 2.50108, 2.11623, 1.29135, 0.889275, 0.887771, 0
98.0039, -0.290967, 2.88328, -4.44073, 542, 0.25357, 0.640549, 3.59619, 2.50291, 2.29148, 2.27323, 2.04177, 0.0155069
93.0125, 0.175034, 5.80522, -9.43215, 578, 0.248573, 0.474554, 2.4384, 1.94669, 1.93764, 1.88245, 1.43134, 0
90.8193, 0.125658, 1.83945, -11.6254, 556, 0.235418, 0.534231, 2.8144, 2.19071, 1.75292, 1.70856, 1.40326, 0.0464656
90.6581, 0.340167, 4.37486, -11.7866, 631, 0.262544, 0.546133, 3.34769, 2.54238, 2.36344, 2.34894, 2.14751, 0.000773735
62.6705, -0.366467, 3.44401, -39.7742, 385, 0.249096, 0.608452, 2.26643, 2.13993, 2.00436, 1.79219, 1.66734, 0
60.8499, 0.10125, 6.28048, -41.5948, 392, 4.74365, 0.454104, 2.10015, 1.71744, 1.55471, 1.51237, 1.46833, 0.00164195
54.5718, -0.287079, 0.576946, -47.8729, 376, 0.235277, 0.524729, 3.16729, 2.32271, 2.24256, 1.6789, 1.60444, 0
50.0659, -0.196946, 5.57627, -52.3788, 341, 0.221879, 0.505716, 1.95603, 1.55598, 1.51141, 1.48672, 1.37498, 0
42.6312, 0.158729, 5.25283, -59.8134, 353, 0.239477, 0.4584, 2.02684, 1.80579, 1.62352, 1.44139, 1.29613, 0.00152981
40.1319, -0.142269, 2.44756, -62.3127, 280, 0.242421, 0.472141, 1.87368, 1.85367, 1.6607, 1.21692, 1.15667, 0
23.7848, 0.0317303, 4.03032, -78.6599, 172, 0.197095, 0.495516, 2.64153, 1.4145, 1.37434, 1.16696, 1.09215, 0
19.8016, -0.295605, 4.78986, -82.6431, 171, 0.187156, 0.471466, 2.00235, 1.80595, 1.80486, 1.12632, 1.0459, 0
96.913, -0.439746, 1.60445, -7.92053, 698, 0.270929, 0.510068, 2.71654, 2.36842, 2.17467, 2.01557, 1.89138, 0
92.6245, 0.0107465, 3.58139, -12.209, 543, 0.260047, 0.561361, 2.45308, 2.42237, 2.01413, 1.87759, 1.70201, 0
73.929, 0.117587, 2.00998, -30.9045, 529, 0.245382, 0.520626, 1.88957, 1.75193, 1.46782, 1.38192, 1.35876, 0
72.2404, 0.304166, 5.88032, -32.5931, 453, 0.24693, 0.564378, 2.98402, 2.40278, 1.92298, 1.66929, 1.54442, 0.0103178
63.7691, 0.0386706, 1.01676, -41.0644, 465, 0.243833, 0.479467, 2.50599, 2.33262, 1.5382, 1.38665, 1.38137, 0.00587525
60.2119, 0.0043998, 5.1195, -44.6215, 488, 0.246133, 0.449343, 3.3124, 1.98397, 1.59467, 1.48082, 1.39007, 0.00384061
58.9673, 0.0173725, 0.253828, -45.8662, 382, 1.08153, 0.503994, 2.35696, 2.09243, 2.07113, 1.8901, 1.57548, 0
56.7456, -0.0497027, 2.47146, -48.0879, 396, 0.260655, 0.468972, 3.39513, 3.34707, 1.95708, 1.63519, 1.4729, 0.00135283
56.4955, 0.421283, 4.6567, -48.338, 357, 0.222639, 0.594689, 2.43806, 1.78986, 1.43525, 1.31708, 1.31621, 0
36.0993, -0.347212, 2.11118, -68.7342, 236, 0.251882, 0.573005, 3.80662, 2.16875, 1.93341, 1.55889, 1.39036, 0.00374297
31.848, 0.357199, 5.35576, -72.9855, 256, 0.247996, 0.522098, 1.78524, 1.67078, 1.52423, 1.49741, 1.21115, 0
18.5167, -0.318233, 0.604466, -86.3168, 125, 0.148744, 0.529048, 1.69028, 1.216, 1.20829, 1.07555, 1.03172, 0.022218
16.8637, 0.426888, 0.0417795, -87.9698, 91, 0.814494, 0.733206, 2.51715, 1.71809, 1.62617, 1.57751, 1.43164, 0.0685872
14.4881, -0.376153, 3.18278, -90.3454, 106, 0.153638, 0.499589, 1.29459, 0.953773, 0.928965, 0.88064, 0.72848, 0.0445163
90.7627, -0.263469, 0.515272, -16.1391, 518, 0.257504, 0.570835, 5.70581, 3.17448, 3.09109, 2.98389, 1.94601, 0.063061
72.8761, -0.00995354, 2.92131, -34.0257, 450, 0.239752, 0.476314, 2.02865, 1.76153, 1.60261, 1.49821, 1.48502, 0.00348742
69.9169, -0.110326, 4.89434, -36.9849, 507, 0.269869, 0.502999, 2.58361, 2.06847, 1.74132, 1.51616, 1.45252, 0.00528816
64.7403, -0.303021, 6.11143, -42.1615, 411, 1.61613, 0.509766, 1.718, 1.57089, 1.55251, 1.45729, 1.44547, 0.0184534
60.919, 0.383307, 4.39222, -45.9828, 475, 0.214364, 0.525163, 1.8277, 1.80839, 1.78524, 1.67469, 1.63348, 0.01539
57.4713, -0.399078, 2.18572, -49.4305, 385, 0.259441, 0.557974, 1.93119, 1.89017, 1.77547, 1.73614, 1.48324, 0.00125059
55.587, 0.0530414, 5.38714, -51.3148, 344, 0.245333, 0.5294, 2.24729, 1.84564, 1.62158, 1.58203, 1.57435, 0.00455067
50.8296, 0.169345, 1.16258, -56.0722, 385, 0.244781, 0.493491, 2.41257, 2.03923, 1.89815, 1.71901, 1.65636, 0.0123905
45.4105, -0.477343, 2.85326, -61.4913, 285, 0.24087, 0.567631, 2.14778, 1.42678, 1.33335, 1.2537, 1.19445, 0.0115668
