p_T, Eta, Phi, p_T-corr, N-Trk, Angularity, Mean-p_T, p_T_1, p_T_2, p_T_3, p_T_4, p_T_5, X_tru
93.5634, 0.174781, 1.45726, -7.51879, 698, 0.278596, 0.451997, 1.91163, 1.61464, 1.59779, 1.5601, 1.53224, 0.00406672
91.8038, 0.219366, 4.69386, -9.27842, 628, 0.261578, 0.50166, 2.29218, 2.02739, 1.92432, 1.91478, 1.7761, 0.000984101
86.0491, -0.0791131, 3.26945, -15.0331, 485, 0.254701, 0.544615, 8.54865, 2.74912, 2.74912, 2.08129, 1.54682, 0.0954023
85.0758, -0.374517, 0.953529, -16.0064, 593, 0.255303, 0.518755, 3.05208, 2.24702, 2.2056, 2.04351, 1.69227, 0.000622079
67.7822, 0.444228, 0.624145, -33.3, 539, 0.239599, 0.537954, 2.68551, 2.30131, 2.00139, 1.95653, 1.5165, 0.0154688
47.41, 0.230067, 3.99622, -53.6722, 358, 0.222953, 0.532696, 2.88335, 1.94629, 1.80578, 1.69641, 1.52517, 0
41.9578, -0.381981, 3.70685, -59.1244, 245, 0.218115, 0.608084, 1.78934, 1.70985, 1.6568, 1.49706, 1.4301, 0.0112521
31.2234, 0.172693, 5.30889, -69.8588, 217, 0.207405, 0.466021, 1.80825, 1.76504, 1.34149, 1.22764, 1.04432, 0
29.4191, 0.0406121, 0.772861, -71.6631, 196, 0.223103, 0.459674, 1.45849, 1.41898, 1.39587, 1.29619, 1.16582, 0.0302784
21.1318, 0.181421, 2.66689, -79.9504, 203, 0.197873, 0.440246, 1.44558, 1.37757, 0.98832, 0.974431, 0.959952, 0.0301161
20.9716, -0.237531, 1.39887, -80.1106, 140, 0.205469, 0.524291, 1.64633, 1.57467, 1.23678, 1.15626, 1.06173, 0
13.8645, -0.31079, 2.73852, -87.2177, 117, 0.121373, 0.40778, 1.24981, 1.00341, 0.940853, 0.876016, 0.873557, 0
11.1136, -0.22084, 6.24431, -89.9686, 74, 3.15303, 0.411616, 1.00624, 0.985762, 0.799363, 0.797278, 0.758295, 0
99.8252, -0.401067, 5.23973, 9.35249, 568, 0.258014, 0.616205, 2.43799, 2.27598, 2.095, 2.01878, 1.81107, 0.026205
89.5236, -0.437793, 1.69664, -0.949112, 663, 0.268128, 0.556047, 3.36743, 2.57208, 2.53722, 2.46953, 1.7319, 0.00844764
75.2982, -0.00214597, 5.98667, -15.1745, 519, 0.264029, 0.488949, 3.34839, 1.85703, 1.68538, 1.67313, 1.62532, 0.0390293
74.964, -0.440879, 2.75462, -15.5087, 473, 0.243024, 0.567909, 2.77246, 1.98783, 1.86421, 1.84879, 1.65391, 0.0321648
68.3596, -0.314425, 0.238239, -22.1131, 527, 0.642231, 0.478039, 2.30917, 2.25003, 1.62489, 1.33566, 1.19575, 0
66.6991, 0.23169, 1.78866, -23.7735, 411, 0.222511, 0.52519, 2.60771, 2.45555, 2.22019, 2.13036, 1.97166, 0.00137633
65.7017, 0.101952, 2.81208, -24.771, 459, 0.243897, 0.490311, 2.11647, 1.71156, 1.61279, 1.5285, 1.52021, 0.00158786
64.1792, -0.0604266, 3.43475, -26.2935, 470, 0.239073, 0.451966, 2.2302, 2.02582, 1.55175, 1.53827, 1.49414, 0
59.5912, 0.20468, 0.239836, -30.8815, 382, 1.83004, 0.500766, 2.65226, 2.48195, 2.29195, 1.33004, 1.32788, 0.0109327
40.0749, 0.334562, 4.78968, -50.3978, 199, 0.227866, 0.679235, 2.8512, 1.77163, 1.45135, 1.42402, 1.42003, 0.0158539
28.3123, 0.0497738, 4.29802, -62.1604, 207, 0.217638, 0.514769, 2.28268, 1.97378, 1.62682, 1.60556, 1.42683, 0.0189404
18.8983, 0.416263, 3.73668, -71.5744, 153, 0.191913, 0.510764, 2.03343, 1.56192, 1.54792, 1.16048, 0.988982, 0
16.6912, 0.0755865, 5.24029, -73.7814, 158, 0.187899, 0.388168, 1.34501, 1.13495, 1.02004, 1.01514, 0.823271, 0.0133292
15.4315, 0.476555, 6.06999, -75.0412, 109, 0.167914, 0.64298, 1.95829, 1.94221, 1.62233, 0.881552, 0.837626, 0
15.3345, -0.213883, 2.32084, -75.1381, 127, 0.136094, 0.451016, 1.43, 1.27376, 1.14256, 0.751517, 0.728072, 0
14.9261, -0.102184, 0.681393, -75.5466, 87, 0.0946576, 0.46644, 1.7167, 1.26643, 1.12924, 1.0963, 1.01417, 0.0014528
83.7873, -0.17689, 3.96748, -25.2285, 499, 0.284485, 0.530299, 2.94658, 1.82, 1.78781, 1.72557, 1.66526, 0
64.2196, 0.122313, 4.57385, -44.7961, 451, 0.219848, 0.475701, 2.40458, 1.72968, 1.56664, 1.49246, 1.42728, 0.00334196
52.7878, -0.418201, 5.0783, -56.228, 413, 0.247839, 0.475565, 2.53958, 1.70327, 1.68452, 1.64736, 1.54694, 0
47.1707, 0.128326, 1.24608, -61.8451, 363, 0.224167, 0.428825, 1.77918, 1.75777, 1.70598, 1.61831, 1.50987, 0.00857968
46.6042, 0.122101, 2.95901, -62.4116, 271, 0.225489, 0.568344, 2.62761, 1.89382, 1.80653, 1.59458, 1.54768, 0.00268154
