Thu Dec 17 07:03:16 2020    prof.txt

         150531575 function calls (149477974 primitive calls) in 274.147 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      540   30.754    0.057   43.616    0.081 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
   545712   18.906    0.000   33.557    0.000 inspect.py:2889(_bind)
  6106495   11.645    0.000   42.321    0.000 colors.py:124(_is_nth_color)
  6105211   11.240    0.000   27.254    0.000 re.py:188(match)
 15730982    9.855    0.000   10.660    0.000 {built-in method builtins.isinstance}
  6105671    8.468    0.000   50.925    0.000 colors.py:161(to_rgba)
  6157879    7.947    0.000   12.119    0.000 re.py:289(_compile)
541081/536562    6.339    0.000    6.424    0.000 {built-in method numpy.array}
  9107015    5.438    0.000    5.438    0.000 inspect.py:2539(kind)
      462    4.752    0.010   55.070    0.119 colors.py:341(<listcomp>)
  6106006    4.363    0.000    4.363    0.000 {method 'match' of 're.Pattern' objects}
   275190    4.254    0.000    7.877    0.000 inspect.py:625(cleandoc)
    17241    4.016    0.000    4.016    0.000 {method 'acquire' of '_thread.lock' objects}
      129    3.536    0.027    3.536    0.027 {built-in method _tkinter.create}
  5402076    3.303    0.000    3.303    0.000 path.py:202(vertices)
259035/258885    3.192    0.000   14.364    0.000 artist.py:972(update)
  5376183    3.176    0.000    3.176    0.000 path.py:247(should_simplify)
  5390711    3.168    0.000    3.168    0.000 path.py:216(codes)
  5376183    3.164    0.000    3.164    0.000 path.py:235(simplify_threshold)
      120    3.090    0.026    4.631    0.039 {built-in method _pickle.dump}
1920112/1704820    3.084    0.000    5.394    0.000 artist.py:213(stale)
  5038292    3.033    0.000    3.033    0.000 inspect.py:2527(name)
3855491/3854051    2.911    0.000    7.156    0.000 {built-in method builtins.next}
  1915717    2.712    0.000    3.959    0.000 __init__.py:686(__getitem__)
545712/183344    2.658    0.000  189.572    0.001 deprecation.py:384(wrapper)
      144    2.288    0.016    2.288    0.016 {method 'encode' of 'ImagingEncoder' objects}
2772001/2767134    2.227    0.000    2.820    0.000 {built-in method builtins.getattr}
   177682    1.946    0.000    3.440    0.000 __init__.py:1682(normalize_kwargs)
  2850648    1.905    0.000    1.905    0.000 {method 'items' of 'dict' objects}
   244184    1.826    0.000    1.826    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   625931    1.754    0.000    3.098    0.000 {built-in method builtins.any}
2938794/2911893    1.731    0.000    1.775    0.000 {built-in method builtins.len}
   536290    1.671    0.000    2.870    0.000 __init__.py:2045(_setattr_cm)
      122    1.617    0.013    1.620    0.013 {built-in method gc.collect}
14418/14222    1.563    0.000    3.819    0.000 {method 'call' of '_tkinter.tkapp' objects}
  2290945    1.445    0.000    1.445    0.000 {method 'pop' of 'dict' objects}
231267/90920    1.437    0.000    1.685    0.000 transforms.py:158(_invalidate_internal)
  2328915    1.417    0.000    1.417    0.000 inspect.py:2531(default)
  1917595    1.248    0.000    1.248    0.000 {function RcParams.__getitem__ at 0x7fa5e4b96af0}
  1920962    1.222    0.000    1.222    0.000 artist.py:796(get_animated)
   120315    1.222    0.000    1.222    0.000 {built-in method posix.lstat}
    33002    1.184    0.000   11.972    0.000 lines.py:269(__init__)
  1637136    1.095    0.000    1.095    0.000 deprecation.py:399(<genexpr>)
   647183    1.043    0.000    1.449    0.000 __init__.py:2254(_check_in_list)
390121/337416    1.042    0.000    5.875    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
